"title","writer","page","price"
"엑셀 피벗&파워 쿼리 바이블","최준선 ",628,34200
"개발자를 위한 파이썬","윤웅식 ",296,18000
"스프링4 입문","하세가와 유이치 , 오오노 와타루 , 토키 코헤이 ",520,27000
"처음 만나는 Vulkan","파르민더 싱 ",430,28800
"파이썬 데이터 분석 입문","클린턴 브라운리 ",368,24300
"스케치업 & V-Ray 트레이닝 북","강석창 ",472,22500
"처음 배우는 머신러닝","김승연 , 정용주 ",376,23400
"골빈해커의 3분 딥러닝","김진중(골빈해커) ",264,19800
"RxJava 프로그래밍","유동환 , 박정준 ",328,22500
"손으로 익히며 배우는 네트워크 첫걸음","Gene ",340,17820
"아파치 스파크 입문","사루타 고스케 , 도바시 마사루 , 요시다 고요 , 사사키 도루 , 쓰즈키 마사요시 ",380,22500
"웹 데이터 수집의 기술","타쿠로 사사키 ",252,17820
"인프라 엔지니어링 첫걸음","데라오 에사쿠 , 나카무라 도모나리 , 하타노 아이 , 요코타 마사토시 , JPCERT CC ",300,19800
"자바스크립트 프로젝트북","권대용 ",428,25200
"창의적인 문제 해결 능력을 키워주는 IT 퍼즐","김종훈 , 김병수 , 김태훈 , 양영훈 , 오정철 , 현동림 ",332,16200
"함수형 반응형 프로그래밍","스티븐 블랙히스 , 앤서니 존스 ",492,29700
"You Don’t Know JS : this와 객체 프로토타입, 비동기와 성능","카일 심슨 ",460,28800
"회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO","전미진 , 이화진 , 신면철 ",584,14400
"회사에서 바로 통하는 엑셀&파워포인트 2016","전미진 , 이화진 ",468,13500
"회사에서 바로 통하는 엑셀 2016","한은숙 ",556,18000
"You Don’t Know JS : 타입과 문법, 스코프와 클로저","카일 심슨 ",282,21600
"실무에서 바로 통하는 자바","다케다 하루키 , 와타나베 유지 , 사토 다이치 , 다다 다케아키 , 가미카와 노부히코 ",480,25200
"이것이 Windows Server다","우재남 ",924,27000
"회사에서 바로 통하는 한글 NEO FOR STARTERS","신면철 ",172,10350
"마인크래프트 슈퍼 건축 레시피","히류 , 이마이 산타로 ",160,13500
"앵귤러 첫걸음","조우진 ",488,25200
"처음 배우는 인공지능","다다 사토시 ",412,25200
"처음부터 다시 배우는 서비스 디자인 씽킹","배성환 ",372,20700
"회사에서 바로 통하는 엑셀 함수 실무 강의","김경자 , 송선영 ",468,17820
"DirectX 12를 이용한 3D 게임 프로그래밍 입문","프랭크 D. 루나 ",1048,45000
"이펙티브 디버깅","디오미디스 스피넬리스 ",256,21600
"비즈니스 블록체인","윌리엄 무가야 ",244,14400
"손으로 익히며 배우는 생활 보안 첫걸음","마스이 토시가츠 ",340,17820
"아마존 웹 서비스 인 액션","안드레아스 비티히, 미하엘 비티히 ",504,29700
"NDC ART BOOK 2017","2017년 넥슨 개발자 콘퍼런스 아트 전시회 참여 작가 ",192,18000
"웹툰, 만화, 일러스트레이션 제작을 위한 클립 스튜디오","이상화 , 홍지혁 ",328,22500
